# (chi2_cut) (curv_cut) (se_chi2_fpass) (se_curv_fpass) (bb_chi2_fpass) (bb_curv_fpass) (se_both_pass) (bb_both_pass)
-0.303664695602 -0.0242079031684 1.0 1.0 0.999829787234 0.999829787234 1.0 0.999659574468
-0.297125504348 -0.0242079031684 0.999809885932 1.0 0.999829787234 0.999829787234 0.999809885932 0.999659574468
-0.290586313095 -0.0242079031684 0.999619771863 1.0 0.999659574468 0.999829787234 0.999619771863 0.999489361702
-0.284047121842 -0.0242079031684 0.999619771863 1.0 0.999489361702 0.999829787234 0.999619771863 0.999319148936
-0.277507930588 -0.0242079031684 0.999619771863 1.0 0.999489361702 0.999829787234 0.999619771863 0.999319148936
-0.270968739335 -0.0242079031684 0.999429657795 1.0 0.999319148936 0.999829787234 0.999429657795 0.99914893617
-0.264429548082 -0.0242079031684 0.999239543726 1.0 0.99914893617 0.999829787234 0.999239543726 0.998978723404
-0.257890356828 -0.0242079031684 0.998859315589 1.0 0.998978723404 0.999829787234 0.998859315589 0.998808510638
-0.251351165575 -0.0242079031684 0.998479087452 1.0 0.998638297872 0.999829787234 0.998479087452 0.998468085106
-0.244811974322 -0.0242079031684 0.998288973384 1.0 0.998468085106 0.999829787234 0.998288973384 0.99829787234
-0.238272783068 -0.0242079031684 0.99752851711 1.0 0.997957446809 0.999829787234 0.99752851711 0.997787234043
-0.231733591815 -0.0242079031684 0.997338403042 1.0 0.997617021277 0.999829787234 0.997338403042 0.997446808511
-0.225194400562 -0.0242079031684 0.997338403042 1.0 0.997446808511 0.999829787234 0.997338403042 0.997276595745
-0.218655209308 -0.0242079031684 0.996768060837 1.0 0.996936170213 0.999829787234 0.996768060837 0.996765957447
-0.212116018055 -0.0242079031684 0.996007604563 1.0 0.996085106383 0.999829787234 0.996007604563 0.995914893617
-0.205576826802 -0.0242079031684 0.995817490494 1.0 0.995744680851 0.999829787234 0.995817490494 0.995574468085
-0.199037635548 -0.0242079031684 0.995437262357 1.0 0.995234042553 0.999829787234 0.995437262357 0.995063829787
-0.192498444295 -0.0242079031684 0.994866920152 1.0 0.994212765957 0.999829787234 0.994866920152 0.994042553191
-0.185959253042 -0.0242079031684 0.993726235741 1.0 0.993361702128 0.999829787234 0.993726235741 0.993191489362
-0.179420061788 -0.0242079031684 0.992775665399 1.0 0.992340425532 0.999829787234 0.992775665399 0.992170212766
-0.172880870535 -0.0242079031684 0.992585551331 1.0 0.99114893617 0.999829787234 0.992585551331 0.990978723404
-0.166341679282 -0.0242079031684 0.990494296578 1.0 0.990468085106 0.999829787234 0.990494296578 0.99029787234
