# pressure(atm) Bfield(T) 80%eff 90%eff 80%eff_fixed 90%eff_fixed
10 0.1 0.445 0.310 0.391 0.261
10 0.3 0.740 0.646 0.623 0.499
10 0.5 0.830 0.761 0.755 0.661
10 0.7 0.849 0.774 0.801 0.740
10 1.0 0.837 0.769 0.825 0.778
