# pressure(atm) Bfield(T) 80%eff 90%eff 80%eff_fixed 90%eff_fixed
10 0.1 0.420 0.288 0.354 0.229 
10 0.3 0.689 0.589 0.615 0.503
10 0.5 0.747 0.633 0.755 0.644
10 0.7 0.686 0.586 0.782 0.697
10 1.0 0.586 0.443 0.769 0.702
