# (curv_cut) (se_curv_fpass) (bb_curv_fpass)
-0.00666666666667 1.0 0.999829787234
-0.00655970818962 1.0 0.999659574468
-0.00645274971257 1.0 0.999489361702
-0.00634579123552 1.0 0.999489361702
-0.00623883275847 1.0 0.999489361702
-0.00613187428141 1.0 0.99914893617
-0.00602491580436 1.0 0.998808510638
-0.00591795732731 1.0 0.99829787234
-0.00581099885026 1.0 0.997957446809
-0.00570404037321 1.0 0.997276595745
-0.00559708189616 1.0 0.996765957447
-0.00549012341911 1.0 0.996425531915
-0.00538316494206 1.0 0.995404255319
-0.00527620646501 1.0 0.993872340426
-0.00516924798796 1.0 0.992680851064
-0.0050622895109 1.0 0.991829787234
-0.00495533103385 1.0 0.989957446809
-0.0048483725568 1.0 0.987574468085
-0.00474141407975 1.0 0.984510638298
-0.0046344556027 1.0 0.980936170213
-0.00452749712565 1.0 0.977191489362
-0.0044205386486 1.0 0.972425531915
-0.00431358017155 1.0 0.969021276596
-0.0042066216945 1.0 0.961872340426
-0.00409966321745 1.0 0.954893617021
-0.00399270474039 1.0 0.948595744681
-0.00388574626334 1.0 0.942468085106
-0.00377878778629 1.0 0.934638297872
-0.00367182930924 1.0 0.924595744681
-0.00356487083219 1.0 0.916425531915
-0.00345791235514 0.999619771863 0.903489361702
-0.00335095387809 0.999619771863 0.893787234043
-0.00324399540104 0.999619771863 0.881872340426
-0.00313703692399 0.999619771863 0.866042553191
-0.00303007844694 0.999429657795 0.847489361702
-0.00292311996988 0.999049429658 0.827914893617
-0.00281616149283 0.998859315589 0.808170212766
-0.00270920301578 0.99752851711 0.788425531915
-0.00260224453873 0.997148288973 0.768170212766
-0.00249528606168 0.9963878327 0.746382978723
-0.00238832758463 0.995247148289 0.723744680851
-0.00228136910758 0.993155893536 0.696510638298
-0.00217441063053 0.990494296578 0.671489361702
-0.00206745215348 0.987262357414 0.647829787234
-0.00196049367643 0.983460076046 0.61685106383
-0.00185353519937 0.979847908745 0.592510638298
-0.00174657672232 0.972433460076 0.560680851064
-0.00163961824527 0.965589353612 0.532936170213
-0.00153265976822 0.95608365019 0.50570212766
-0.00142570129117 0.944486692015 0.475234042553
-0.00131874281412 0.930988593156 0.442553191489
-0.00121178433707 0.912357414449 0.413617021277
-0.00110482586002 0.891254752852 0.387574468085
-0.000997867382967 0.867490494297 0.355404255319
-0.000890908905916 0.834980988593 0.328510638298
-0.000783950428865 0.804942965779 0.297872340426
-0.000676991951814 0.765779467681 0.269617021277
-0.000570033474763 0.727566539924 0.242893617021
-0.000463074997712 0.690874524715 0.217361702128
-0.000356116520661 0.648479087452 0.194553191489
-0.00024915804361 0.603231939163 0.169531914894
-0.000142199566559 0.550380228137 0.148936170213
-3.5241089508e-05 0.502091254753 0.12629787234
7.1717387543e-05 0.461977186312 0.112510638298
0.000178675864594 0.417870722433 0.0971914893617
0.000285634341645 0.375095057034 0.0823829787234
0.000392592818696 0.329657794677 0.0691063829787
0.000499551295747 0.286692015209 0.0580425531915
0.000606509772798 0.242585551331 0.0469787234043
0.000713468249849 0.205513307985 0.04
0.0008204267269 0.171482889734 0.0335319148936
0.000927385203951 0.144486692015 0.0277446808511
0.001034343681 0.115399239544 0.0209361702128
0.00114130215805 0.0946768060837 0.0173617021277
0.0012482606351 0.0737642585551 0.0139574468085
0.00135521911216 0.0583650190114 0.0112340425532
0.00146217758921 0.0473384030418 0.00834042553191
0.00156913606626 0.0357414448669 0.00697872340426
0.00167609454331 0.0273764258555 0.00595744680851
0.00178305302036 0.021102661597 0.00527659574468
0.00189001149741 0.0169201520913 0.00459574468085
0.00199696997446 0.0133079847909 0.00374468085106
0.00210392845151 0.0110266159696 0.00204255319149
0.00221088692856 0.00836501901141 0.0011914893617
0.00231784540561 0.00627376425856 0.00068085106383
0.00242480388267 0.00494296577947 0.000510638297872
0.00253176235972 0.0032319391635 0.000510638297872
0.00263872083677 0.00228136882129 0.000170212765957
0.00274567931382 0.00190114068441 0.000170212765957
0.00285263779087 0.00114068441065 0.000170212765957
0.00295959626792 0.000950570342205 0.000170212765957
0.00306655474497 0.000760456273764 0.000170212765957
0.00317351322202 0.000760456273764 0.000170212765957
0.00328047169907 0.000570342205323 0.000170212765957
0.00338743017612 0.000380228136882 0.000170212765957
0.00349438865318 0.000190114068441 0.000170212765957
0.00360134713023 0.000190114068441 0.000170212765957
0.00370830560728 0.000190114068441 0.000170212765957
0.00381526408433 0.000190114068441 0.000170212765957
0.00392222256138 0.000190114068441 0.000170212765957
